video_id,n,mean_iou,min_iou,max_iou,failure_rate_tau0_50,combined_monitor_mean_score
clip01,1280,0.11348459499895358,0.0,0.3139474855362706,1.0,0.85263664
clip02,240,0.034505971633813436,0.0,0.11180148457389218,1.0,0.93449116
clip03,640,0.15050905667270448,0.02853045738356287,0.2560930000623325,1.0,0.8838471
clip04,320,0.07014580396997662,0.0,0.25459172284476983,1.0,0.78871506
clip05,160,0.343744645060042,0.21193244504795045,0.4169817776646985,1.0,0.8692552
clip06,160,0.18449553009905795,0.07033473963883739,0.2583568088752069,1.0,0.8627025
clip07,960,0.06078013551850038,0.0,0.2064156975141928,1.0,0.9408331
clip08,320,0.23791443109520719,0.09015339614298834,0.3599828574489741,1.0,0.7507254
clip09,320,0.13965738949940804,0.045309293611981744,0.2520268139603487,1.0,0.77162087
clip10,400,0.11930195558949828,0.022800325718938842,0.24618683637118252,1.0,0.92037255
clip11,560,0.0634839872996282,0.0,0.1569635649914303,1.0,0.71903896
clip12,240,0.17191018487340623,0.018079665778289997,0.32651763958046404,1.0,0.7719935
clip13,480,0.1889746100450697,0.09340471328439759,0.29290467381488855,1.0,0.8087009
clip14,720,0.07905211672462081,0.0013934045517882026,0.1853007771862187,1.0,0.9626732
clip15,240,0.15875643611881524,0.018775152811221312,0.3565688141520846,1.0,0.79458845
clip16,800,0.14801253627682034,0.06701277661180456,0.30906084656084654,1.0,0.9716647
clip17,240,0.27536700977366846,0.19068593268662118,0.3511099014577213,1.0,0.85560405
