protocol,tau,comparison,delta_auroc,delta_auroc_ci_lo,delta_auroc_ci_hi,delta_auroc_n_boot,delta_auprc,delta_auprc_ci_lo,delta_auprc_ci_hi,delta_auprc_n_boot
clean_test,0.5,TCSR-Monitor minus Max-softmax,0.34098115201691037,0.20421466389548754,0.4172775366193388,672,0.381306499134043,0.1323810308393421,0.6298783174636375,672
clean_test,0.5,TCSR-Monitor minus Entropy,0.11255945041395099,-0.005638981856614389,0.2891196319018405,1000,-0.1669170757690192,-0.43943710580861384,0.14526320842062096,1000
clean_test,0.5,TCSR-Monitor minus Temporal heuristic,0.5384886383653338,0.3699802036199095,0.7113972598059313,1000,0.455525894503936,0.1975987342745527,0.7475097591797587,1000
clean_test,0.75,TCSR-Monitor minus Max-softmax,0.28409402412280704,0.22726829948900693,0.3273205811794169,672,0.2152884494905143,0.12610623675210375,0.33013010132126946,672
clean_test,0.75,TCSR-Monitor minus Entropy,0.309404696637427,0.22403357913321545,0.40126960159630637,1000,0.08023319464431392,-0.0009151602460860038,0.18397432680536818,1000
clean_test,0.75,TCSR-Monitor minus Temporal heuristic,0.3330249451754387,0.24027187283848242,0.4337654866155836,1000,0.22650039088602475,0.12098564638022324,0.34926656515294874,1000
loco_tau75_micro,0.75,TCSR-Monitor minus Learned confidence-only,0.008036407250227917,0.005248132580770543,0.010714217478074713,1000,0.014726796097187411,0.011910902830576045,0.017808210924257203,1000
loco_tau75_micro,0.75,TCSR-Monitor minus Entropy,0.32618192162869475,0.31666435922854436,0.33477544507869095,1000,0.26904241306077925,0.2609611990543389,0.27699807018532596,1000
