precision,recall,threshold
0.3743030303030303,1.0,0.027922973036766052
0.37427774859590285,0.999892055267703,0.028027039021253586
0.3742524648456441,0.9997841105354058,0.02803053706884384
0.3742271790520063,0.9996761658031088,0.028049001470208168
0.3742018912147418,0.9995682210708118,0.02808595821261406
0.37417660133360275,0.9994602763385146,0.02814008854329586
0.3741513094083414,0.9993523316062176,0.02816666290163994
0.37412601543870994,0.9992443868739206,0.028169510886073112
0.37410071942446044,0.9991364421416234,0.02828669175505638
0.374075421365345,0.9990284974093264,0.028354516252875328
0.3740501212611156,0.9989205526770294,0.028410831466317177
0.3740248191115243,0.9988126079447323,0.028423717245459557
0.37399951491632305,0.9987046632124352,0.028508858755230904
0.37397420867526376,0.9985967184801382,0.028585519641637802
0.3739489003880983,0.9984887737478411,0.028615709394216537
0.37392359005457854,0.998380829015544,0.02864360250532627
0.3738982776744562,0.998272884283247,0.02898060344159603
0.3738729632474831,0.9981649395509499,0.02914794720709324
0.373847646773411,0.9980569948186528,0.029155848547816277
0.3738223282519914,0.9979490500863558,0.02916085161268711
0.37379700768297613,0.9978411053540587,0.0291737150400877
0.3738121234178495,0.9978411053540587,0.02919679507613182
0.37378680038822387,0.9977331606217616,0.02921191044151783
0.37376147531038945,0.9976252158894646,0.029248178005218506
0.3737361481840977,0.9975172711571675,0.029269512742757797
0.3737108190091001,0.9974093264248705,0.02927321568131447
0.37368548778514804,0.9973013816925734,0.02927735261619091
0.37366015451199286,0.9971934369602763,0.02930050529539585
0.37363481918938596,0.9970854922279793,0.02931031957268715
0.3736094818170786,0.9969775474956822,0.029318824410438538
0.373584142394822,0.9968696027633851,0.029337113723158836
0.37355880092236743,0.9967616580310881,0.029401278123259544
0.373533457399466,0.996653713298791,0.02940627560019493
0.37350811182586885,0.9965457685664939,0.02941100299358368
0.3734827642013271,0.9964378238341969,0.029418347403407097
0.3734574145255917,0.9963298791018999,0.029425419867038727
0.37343206279841384,0.9962219343696027,0.02942553348839283
0.37340670901954437,0.9961139896373057,0.029433539137244225
0.3733813531887342,0.9960060449050087,0.029436323791742325
0.37335599530573427,0.9958981001727115,0.029439875856041908
0.3733306353702954,0.9957901554404145,0.029441148042678833
0.37330527338216846,0.9956822107081175,0.029442474246025085
0.3732799093411041,0.9955742659758203,0.029459526762366295
0.37325454324685314,0.9954663212435233,0.02946029230952263
0.3732291750991662,0.9953583765112263,0.029460323974490166
0.373203804897794,0.9952504317789291,0.029460839927196503
0.37317843264248707,0.9951424870466321,0.029461059719324112
0.373153058332996,0.9950345423143351,0.029462479054927826
0.3731276819690713,0.9949265975820379,0.02946673147380352
0.37310230355046353,0.9948186528497409,0.029476627707481384
0.3730769230769231,0.9947107081174439,0.029482485726475716
0.37305154054820033,0.9946027633851469,0.029483962804079056
0.37302615596404565,0.9944948186528497,0.02948627434670925
0.3730007693242094,0.9943868739205527,0.029486659914255142
0.3729753806284419,0.9942789291882557,0.029487915337085724
0.3729499898764932,0.9941709844559585,0.029489774256944656
0.3729245970681137,0.9940630397236615,0.029495544731616974
0.3728992022030535,0.9939550949913645,0.02950168587267399
0.3728738052810627,0.9938471502590673,0.02950625866651535
0.37284840630189137,0.9937392055267703,0.02950671873986721
0.3728230052652896,0.9936312607944733,0.029509155079722404
0.3727976021710073,0.9935233160621761,0.029510434716939926
0.37277219701879455,0.9934153713298791,0.02951870858669281
0.3727467898084012,0.9933074265975821,0.029526615515351295
0.3727213805395771,0.993199481865285,0.02952718175947666
0.3726959692120721,0.9930915371329879,0.029529448598623276
0.372670555825636,0.9929835924006909,0.029530733823776245
0.3726451403800186,0.9928756476683938,0.029532339423894882
0.37261972287496964,0.9927677029360967,0.0295338686555624
0.37259430331023863,0.9926597582037997,0.02953660860657692
0.37256888168557534,0.9925518134715026,0.029540298506617546
0.37254345800072936,0.9924438687392055,0.02954152598977089
0.3725180322554502,0.9923359240069085,0.02954219840466976
0.3724926044494874,0.9922279792746114,0.02954258769750595
0.3724671745825904,0.9921200345423143,0.029551802203059196
0.37244174265450863,0.9920120898100173,0.029553387314081192
0.3724163086649915,0.9919041450777202,0.0295628122985363
0.37239087261378834,0.9917962003454232,0.029567282646894455
0.3723654345006485,0.9916882556131261,0.02957509271800518
0.3723399943253212,0.991580310880829,0.029582209885120392
0.37231455208755576,0.991472366148532,0.029583057388663292
0.3722891077871012,0.9913644214162349,0.02958500385284424
0.3722636614237068,0.9912564766839378,0.029590412974357605
0.3722382129971217,0.9911485319516408,0.0295915175229311
0.3722127625070948,0.9910405872193437,0.029591714963316917
0.37218730995337523,0.9909326424870466,0.029592575505375862
0.37216185533571194,0.9908246977547496,0.02959270030260086
0.37213639865385395,0.9907167530224525,0.029593443498015404
0.37211093990755006,0.9906088082901554,0.029596403241157532
0.3720854790965492,0.9905008635578584,0.029598811641335487
0.37206001622060014,0.9903929188255614,0.029601387679576874
0.37203455127945173,0.9902849740932642,0.02960318885743618
0.3720090842728526,0.9901770293609672,0.029603315517306328
0.37198361520055157,0.9900690846286702,0.029604319483041763
0.3719581440622972,0.989961139896373,0.029604649171233177
0.37193267085783815,0.989853195164076,0.029606010764837265
0.37190719558692303,0.989745250431779,0.02960837073624134
0.3718817182493003,0.9896373056994818,0.029610568657517433
0.37185623884471847,0.9895293609671848,0.02961163967847824
0.37183075737292604,0.9894214162348878,0.029611827805638313
0.3718052738336714,0.9893134715025906,0.029613373801112175
0.37177978822670293,0.9892055267702936,0.029616881161928177
0.3717543005517689,0.9890975820379966,0.029621291905641556
0.3717288108086177,0.9889896373056994,0.02962232194840908
0.3717033189969975,0.9888816925734024,0.029623674228787422
0.37167782511665653,0.9887737478411054,0.02962474152445793
0.371652329167343,0.9886658031088082,0.029625050723552704
0.37162683114880496,0.9885578583765112,0.029627878218889236
0.3716013310607905,0.9884499136442142,0.029628269374370575
0.37157582890304774,0.9883419689119171,0.02962895855307579
0.3715503246753247,0.98823402417962,0.02963000163435936
0.3715248183773692,0.988126079447323,0.029630396515130997
0.3714993100089293,0.9880181347150259,0.029631715267896652
0.3714737995697528,0.9879101899827288,0.02963201515376568
0.3714482870595876,0.9878022452504318,0.029633698984980583
0.37142277247818145,0.9876943005181347,0.029636232182383537
0.37139725582528216,0.9875863557858376,0.02964084967970848
0.37137173710063737,0.9874784110535406,0.029640911146998405
0.3713462163039948,0.9873704663212435,0.02964244782924652
0.3713206934351021,0.9872625215889465,0.029644403606653214
0.37129516849370686,0.9871545768566494,0.029649613425135612
0.3712696414795566,0.9870466321243523,0.029650045558810234
0.3712441123923989,0.9869386873920553,0.02965134009718895
0.37121858123198115,0.9868307426597582,0.029653839766979218
0.37119304799805086,0.9867227979274611,0.02965437062084675
0.3711675126903553,0.9866148531951641,0.029654555022716522
0.37114197530864196,0.986506908462867,0.02965470403432846
0.3711164358526581,0.9863989637305699,0.029654916375875473
0.3710908943221509,0.9862910189982729,0.029654918238520622
0.3710653507168677,0.9861830742659758,0.02965550869703293
0.37103980503655565,0.9860751295336787,0.029657183215022087
0.3710142572809619,0.9859671848013817,0.02965729683637619
0.3709887074498335,0.9858592400690847,0.02965957298874855
0.3709631555429175,0.9857512953367875,0.029659753665328026
0.370937601559961,0.9856433506044905,0.029661230742931366
0.37091204550071094,0.9855354058721935,0.02966156415641308
0.37088648736491425,0.9854274611398963,0.029663674533367157
0.3708609271523179,0.9853195164075993,0.029664065688848495
0.3708353648626686,0.9852115716753023,0.029666921123862267
0.3708098004957133,0.9851036269430051,0.02966698259115219
0.3707842340511987,0.9849956822107081,0.02966826781630516
0.37075866552887154,0.9848877374784111,0.029673052951693535
0.37073309492847856,0.9847797927461139,0.02967446856200695
0.37070752224976633,0.9846718480138169,0.029675692319869995
0.3706819474924815,0.9845639032815199,0.029676387086510658
0.37065637065637064,0.9844559585492227,0.029676461592316628
0.3706307917411803,0.9843480138169257,0.029676513746380806
0.3706052107466569,0.9842400690846287,0.029679471626877785
0.37057962767254693,0.9841321243523317,0.029681891202926636
0.3705540425185968,0.9840241796200345,0.029682204127311707
0.37052845528455286,0.9839162348877375,0.029685212299227715
0.3705028659701614,0.9838082901554405,0.02968605048954487
0.3704772745751687,0.9837003454231433,0.029687654227018356
0.37045168109932103,0.9835924006908463,0.029692785814404488
0.3704260855423646,0.9834844559585493,0.029694823548197746
0.37040048790404556,0.9833765112262521,0.02969612367451191
0.37037488818410996,0.9832685664939551,0.02969980612397194
0.3703492863823039,0.9831606217616581,0.029706887900829315
0.37032368249837344,0.9830526770293609,0.029709473252296448
0.3702980765320646,0.9829447322970639,0.02971000038087368
0.37027246848312323,0.9828367875647669,0.02971448004245758
0.3702468583512953,0.9827288428324698,0.029716122895479202
0.3702212461363267,0.9826208981001727,0.029717840254306793
0.37019563183796317,0.9825129533678757,0.029719296842813492
0.3701700154559505,0.9824050086355786,0.02972051501274109
0.3701443969900346,0.9822970639032815,0.029722416773438454
0.37011877643996094,0.9821891191709845,0.029725996777415276
0.3700931538054753,0.9820811744386874,0.029726065695285797
0.37006752908632334,0.9819732297063903,0.029729455709457397
0.37004190228225053,0.9818652849740933,0.02973194792866707
