precision,recall,threshold
0.3743030303030303,1.0,0.002830121200531721
0.37431815426885934,1.0,0.0030511824879795313
0.3743332794569258,1.0,0.003386978292837739
0.3743484058673779,1.0,0.00342864403501153
0.3743635335003637,1.0,0.0034293073695153
0.3743786623560315,1.0,0.0034370110370218754
0.3743937924345296,1.0,0.003631462110206485
0.37440892373600615,1.0,0.0037025620695203543
0.3744240562606095,1.0,0.0037257028743624687
0.3744391900084879,1.0,0.003740919753909111
0.3744543249797898,1.0,0.003803111845627427
0.3744694611746635,1.0,0.0038783594500273466
0.37448459859325733,1.0,0.0039560627192258835
0.3744997372357198,1.0,0.003966809716075659
0.3745148771021992,1.0,0.004016760736703873
0.37453001819284415,1.0,0.004073564428836107
0.374545160507803,1.0,0.004094879608601332
0.37456030404722435,1.0,0.0041239019483327866
0.37457544881125665,1.0,0.004132476169615984
0.3745905948000485,1.0,0.004161999095231295
0.37460574201374847,1.0,0.004199525341391563
0.37462089045250513,1.0,0.004213150590658188
0.3746360401164672,1.0,0.004230926278978586
0.37465119100578315,1.0,0.004254643339663744
0.3746663431206018,1.0,0.004275322891771793
0.3746814964610718,1.0,0.004283869173377752
0.37469665102734184,1.0,0.004318946972489357
0.37471180681956073,1.0,0.004333028104156256
0.3747269638378772,1.0,0.004385641776025295
0.37474212208244,1.0,0.004429093096405268
0.37475728155339805,1.0,0.004429574124515057
0.3747724422509001,1.0,0.004474185407161713
0.37478760417509505,1.0,0.0044768028892576694
0.3748027673261318,1.0,0.004495809320360422
0.3748179317041592,1.0,0.0045357998460531235
0.37483309730932635,1.0,0.0045424229465425014
0.37484826414178196,1.0,0.004559183493256569
0.37486343220167523,1.0,0.00455993227660656
0.3748786014891551,1.0,0.004569320473819971
0.3748937720043705,1.0,0.004603137727826834
0.37490894374747064,1.0,0.004622334148734808
0.37492411671860454,1.0,0.0046247635036706924
0.37493929091792133,1.0,0.004659951198846102
0.37495446634557006,1.0,0.0046621146611869335
0.3749696430017,1.0,0.004663311876356602
0.37498482088646024,1.0,0.004681751597672701
0.375,1.0,0.0047006430104374886
0.3750151803424685,1.0,0.004705446306616068
0.37503036191401506,1.0,0.004721957724541426
0.37504554471478885,1.0,0.004740913864225149
0.3750607287449393,1.0,0.004900187719613314
0.3750759140046156,1.0,0.004941243212670088
0.3750911004939671,1.0,0.004943536594510078
0.3751062882131433,1.0,0.004958632402122021
0.3751214771622935,1.0,0.004979712422937155
0.37513666734156714,1.0,0.004982697311788797
0.3751518587511136,1.0,0.004991530440747738
0.3751670513910825,1.0,0.005012600217014551
0.3751822452616232,1.0,0.005057180766016245
0.37519744036288527,1.0,0.005074701737612486
0.37521263669501825,1.0,0.005082826130092144
0.37522783425817163,1.0,0.005108268931508064
0.3752430330524951,1.0,0.0051127150654792786
0.37525823307813827,1.0,0.005139732733368874
0.37527343433525073,1.0,0.005192429292947054
0.37528863682398217,1.0,0.005200940649956465
0.37530384054448224,1.0,0.005223670043051243
0.3753190454969007,1.0,0.005233583506196737
0.37533425168138723,1.0,0.005241789855062962
0.37534945909809164,1.0,0.005254969000816345
0.3753646677471637,1.0,0.0052592079155147076
0.3753798776287532,1.0,0.005280021578073502
0.37539508874301,1.0,0.005311743821948767
0.3754103010900839,1.0,0.005312270484864712
0.3754255146701248,1.0,0.005326396785676479
0.37544072948328266,1.0,0.00540440808981657
0.3754559455297074,1.0,0.005433778278529644
0.3754711628095489,1.0,0.005434518214315176
0.3754863813229572,1.0,0.005517138168215752
0.3755016010700823,1.0,0.0055455551482737064
0.3755168220510742,1.0,0.005546825472265482
0.37553204426608294,1.0,0.005547420121729374
0.37554726771525865,1.0,0.005665081553161144
0.3755624923987514,1.0,0.0056863222271203995
0.3755777183167113,1.0,0.005688266362994909
0.37559294546928845,1.0,0.005694256629794836
0.37560817385663314,1.0,0.0057077715173363686
0.3756234034788955,1.0,0.005786154419183731
0.3756386343362258,1.0,0.0058078463189303875
0.3756538664287742,1.0,0.005850659683346748
0.375669099756691,1.0,0.005871066357940435
0.37568433432012655,1.0,0.005872418638318777
0.3756995701192311,1.0,0.005893101915717125
0.375714807154155,1.0,0.005956321023404598
0.3757300454250487,1.0,0.005993780680000782
0.37574528493206244,1.0,0.0060080536641180515
0.3757605256753468,1.0,0.006008415017277002
0.3757757676550521,1.0,0.006046329624950886
0.3757910108713289,1.0,0.006050730589777231
0.3758062553243276,1.0,0.006086200941354036
0.37582150101419876,1.0,0.006098671816289425
0.37583674794109295,1.0,0.006177338305860758
0.3758519961051607,1.0,0.00619493005797267
0.37586724550655254,1.0,0.00624897750094533
0.37588249614541913,1.0,0.006259017623960972
0.3758977480219111,1.0,0.0062591154128313065
0.3759130011361792,1.0,0.006274729035794735
0.375928255488374,1.0,0.0062957280315458775
0.3759435110786462,1.0,0.006296838168054819
0.3759587679071466,1.0,0.006313957739621401
0.37597402597402596,1.0,0.006360228173434734
0.37598928527943504,1.0,0.00636176485568285
0.37600454582352466,1.0,0.00636389059945941
0.3760198076064456,1.0,0.006370424758642912
0.37603507062834873,1.0,0.006389374379068613
0.376050334889385,1.0,0.006406464613974094
0.37606560038970527,1.0,0.0064256940968334675
0.3760808671294605,1.0,0.006480141542851925
0.3760961351088016,1.0,0.006519249640405178
0.3761114043278795,1.0,0.006535625550895929
0.3761266747868453,1.0,0.006536074914038181
0.37614194648585003,1.0,0.006583001464605331
0.37615721942504465,1.0,0.006587683223187923
