scope,feature_set,comparison,delta_auroc,delta_auroc_ci_lo,delta_auroc_ci_hi,delta_auroc_n_boot,delta_auprc,delta_auprc_ci_lo,delta_auprc_ci_hi,delta_auprc_n_boot
clean_tau75,full,xgboost_minus_logreg,0.15566748903508765,0.09516954187178203,0.2168148264710121,1000,-0.004828420025197261,-0.055751519371581564,0.024706346572652447,1000
clean_tau75,full,xgboost_minus_random_forest,-0.006967288011695993,-0.053299087248626476,0.04031104632325554,1000,-0.044265319589465696,-0.09439883839107575,-0.013799187923889488,1000
clean_tau75,confidence_only,xgboost_minus_logreg,0.031295687134502925,-0.009591247910087194,0.0696808300395257,1000,-0.025635953079854834,-0.0788995229681289,0.012653401086147107,1000
clean_tau75,confidence_only,xgboost_minus_random_forest,-0.012038559941520477,-0.05197623543132457,0.02349273517916485,1000,-0.018556729919120912,-0.04842548115402857,0.005532102605753711,1000
loco_tau75_micro,full,xgboost_minus_logreg,0.1136704489285213,0.10762085535781724,0.12049984275697262,1000,0.08992858622611277,0.08492314793689186,0.09610127954524958,1000
loco_tau75_micro,full,xgboost_minus_random_forest,-0.012155830844595927,-0.014668191481408549,-0.009735747255570758,1000,-0.018947288380513294,-0.021027608008330704,-0.016820913518448336,1000
loco_tau75_micro,confidence_only,xgboost_minus_logreg,0.10218254964035722,0.0953787585487561,0.10921409506515319,1000,0.05160839407775031,0.04619862035153194,0.05688453644350068,1000
loco_tau75_micro,confidence_only,xgboost_minus_random_forest,-0.01972702878102406,-0.02186079805923624,-0.017574852385612644,1000,-0.03556226113924532,-0.03806456076235572,-0.03315509929265917,1000
