feature_set,seed,n_features,auroc,auprc,brier,ece,recall_at_cov90,fa_per_min,recall,precision
all,0,22,0.5933151312312841,0.09244762082606635,0.05248098875322844,0.19021441900368893,0.9285714285714286,3.6363636363636362,0.07142857142857142,0.3333333333333333
all,1,22,0.5933151312312841,0.09244762082606635,0.05248098875322844,0.19021441900368893,0.9285714285714286,3.6363636363636362,0.07142857142857142,0.3333333333333333
all,2,22,0.5933151312312841,0.09244762082606635,0.05248098875322844,0.19021441900368893,0.9285714285714286,3.6363636363636362,0.07142857142857142,0.3333333333333333
confidence_only,0,7,0.44019728729963,0.023797915991793542,0.06471905452248194,0.19019026156627772,1.0,70.9090909090909,0.07142857142857142,0.025
confidence_only,1,7,0.44019728729963,0.023797915991793542,0.06471905452248194,0.19019026156627772,1.0,70.9090909090909,0.07142857142857142,0.025
confidence_only,2,7,0.44019728729963,0.023797915991793542,0.06471905452248194,0.19019026156627772,1.0,70.9090909090909,0.07142857142857142,0.025
no_confidence,0,15,0.46776466443544124,0.052599863271732175,0.02956129174294153,0.09466027238152244,0.9285714285714286,7.2727272727272725,0.07142857142857142,0.2
no_confidence,1,15,0.46776466443544124,0.052599863271732175,0.02956129174294153,0.09466027238152244,0.9285714285714286,7.2727272727272725,0.07142857142857142,0.2
no_confidence,2,15,0.46776466443544124,0.052599863271732175,0.02956129174294153,0.09466027238152244,0.9285714285714286,7.2727272727272725,0.07142857142857142,0.2
no_shape,0,16,0.4886383653338031,0.05284079285790546,0.01703757063097294,0.015245575697133036,0.9285714285714286,1.8181818181818181,0.0,0.0
no_shape,1,16,0.4886383653338031,0.05284079285790546,0.01703757063097294,0.015245575697133036,0.9285714285714286,1.8181818181818181,0.0,0.0
no_shape,2,16,0.4886383653338031,0.05284079285790546,0.01703757063097294,0.015245575697133036,0.9285714285714286,1.8181818181818181,0.0,0.0
no_temporal,0,17,0.4475515236920909,0.08718614718614719,0.0366928500891764,0.04194376163410418,0.42857142857142855,47.272727272727266,0.07142857142857142,0.037037037037037035
no_temporal,1,17,0.4475515236920909,0.08718614718614719,0.0366928500891764,0.04194376163410418,0.42857142857142855,47.272727272727266,0.07142857142857142,0.037037037037037035
no_temporal,2,17,0.4475515236920909,0.08718614718614719,0.0366928500891764,0.04194376163410418,0.42857142857142855,47.272727272727266,0.07142857142857142,0.037037037037037035
no_quality,0,18,0.5140479126299101,0.06462747778537252,0.20570412737670163,0.43488539627104095,0.5,0.0,0.0,nan
no_quality,1,18,0.5140479126299101,0.06462747778537252,0.20570412737670163,0.43488539627104095,0.5,0.0,0.0,nan
no_quality,2,18,0.5140479126299101,0.06462747778537252,0.20570412737670163,0.43488539627104095,0.5,0.0,0.0,nan
