scope,comparison,delta_auroc,delta_auroc_ci_lo,delta_auroc_ci_hi,delta_auroc_n_boot,delta_auprc,delta_auprc_ci_lo,delta_auprc_ci_hi,delta_auprc_n_boot
clean_tau75,normal_minus_no_temporal,0.059233369883040954,0.015519718029755816,0.10960812891637885,1000,-0.0024505541059429425,-0.04024248060761689,0.018230005886161454,1000
clean_tau75,normal_minus_reset,-0.014220120614035103,-0.05005175617064359,0.025601824124099924,1000,0.00969789655592078,-0.01847892793574576,0.03961950126063983,1000
clean_tau75,normal_minus_shuffled,-0.021804184941520588,-0.05943016133411794,0.014296679365384552,1000,-0.014515752243991237,-0.03591909901723517,0.0005641498596408068,1000
loco_tau75_micro,normal_minus_no_temporal,0.00724481603195215,0.00561769276461741,0.008851949723156921,1000,0.009988015721024701,0.008314155683414487,0.011498933695258506,1000
loco_tau75_micro,normal_minus_reset,0.02199737779200872,0.018991332083273537,0.025010061968410647,1000,0.026189809965772914,0.023520923336218365,0.028879539269503623,1000
loco_tau75_micro,normal_minus_shuffled,0.022391209470607687,0.019401651139825032,0.025510539947437922,1000,0.02726832179286498,0.024679930087046126,0.029905182208402943,1000
