dataset,alpha,scope,group,group_label,method,miss_rate_mean,miss_rate_std,miss_rate_ci_lo,miss_rate_ci_hi,miss_rate_n,failure_recall_mean,failure_recall_std,failure_recall_ci_lo,failure_recall_ci_hi,failure_recall_n,false_alarm_rate_mean,false_alarm_rate_std,false_alarm_rate_ci_lo,false_alarm_rate_ci_hi,false_alarm_rate_n,alarm_rate_mean,alarm_rate_std,alarm_rate_ci_lo,alarm_rate_ci_hi,alarm_rate_n,alarms_per_minute_mean,alarms_per_minute_std,alarms_per_minute_ci_lo,alarms_per_minute_ci_hi,alarms_per_minute_n,false_alarms_per_minute_mean,false_alarms_per_minute_std,false_alarms_per_minute_ci_lo,false_alarms_per_minute_ci_hi,false_alarms_per_minute_n,precision_mean,precision_std,precision_ci_lo,precision_ci_hi,precision_n,prevalence_mean,prevalence_std,prevalence_ci_lo,prevalence_ci_hi,prevalence_n
corrupted_by_severity,0.05,overall,all,all,global,0.050520695389549404,0.00468269597121203,0.040785084224903255,0.06072154393519838,200,0.9494793046104506,0.00468269597121203,0.9392784560648015,0.9592149157750968,200,0.3511408549060259,0.010007769962344426,0.3353783711502043,0.3709228255245678,200,0.5750092929292929,0.008047187595750701,0.5602969696969697,0.5918404040404041,200,862.5139393939395,12.070781393626053,840.4454545454546,887.760606060606,200,329.64303030303034,9.555964949480636,314.74242424242425,350.07272727272726,200,0.6178795198480853,0.006410172968523806,0.6023285640778656,0.6287726325871582,200,0.37415030303030306,0.00294708954081055,0.36783434343434346,0.37931515151515155,200
corrupted_by_severity,0.05,overall,all,all,mondrian,0.049690427625695664,0.0041342990124394515,0.04142082961781112,0.058462274407479885,200,0.9503095723743042,0.004134299012439452,0.9415377255925201,0.958579170382189,200,0.4779005329088531,0.01455877789607297,0.45251934596009047,0.504917469057731,200,0.6546521212121212,0.010319782807410395,0.6367393939393939,0.6738686868686868,200,981.9781818181817,15.479674211115597,955.1090909090909,1010.8030303030303,200,448.6406060606061,13.82582126676903,424.3090909090909,474.42727272727274,200,0.5432238322765126,0.0075311347125983485,0.5292141446912961,0.5568530904859107,200,0.37415030303030306,0.00294708954081055,0.36783434343434346,0.37931515151515155,200
corrupted_by_severity,0.05,per_group,1,severity 1,global,0.2858736440374019,0.0311199397092281,0.2257805563776265,0.3434494022796775,200,0.714126355962598,0.031119939709228103,0.6565505977203225,0.7742194436223735,200,0.2896327160590139,0.011095796286353788,0.27056922917911824,0.31249747610145834,200,0.3247093324953967,0.012123845880160494,0.30376924930788013,0.35055147817315363,200,487.06399874309517,18.185768820240742,455.6538739618202,525.8272172597304,200,398.55436364705247,15.331359954172115,372.37877821982937,430.4813121567415,200,0.1816983289952439,0.009539185077381307,0.164220376820186,0.2000359712230216,200,0.0826181308107592,0.0039050582093835356,0.07552794413545874,0.09003178714386625,200
corrupted_by_severity,0.05,per_group,1,severity 1,mondrian,0.047698145974859926,0.020996297238942335,0.013749532943081332,0.08975707547169814,200,0.9523018540251401,0.020996297238942335,0.9102429245283019,0.9862504670569187,200,0.6737367304480378,0.03102634471709445,0.6211002565716223,0.7358484657947686,200,0.6967437109370996,0.030246163847623797,0.6455079985011725,0.7577659135720863,200,1045.1155664056496,45.3692457714357,968.2619977517586,1136.6488703581294,200,927.0858089732839,42.31381320161392,852.1649712789821,1008.9226760236586,200,0.11300506139031338,0.00547200107291677,0.10264254077615298,0.12278386538750174,200,0.0826181308107592,0.0039050582093835356,0.07552794413545874,0.09003178714386625,200
corrupted_by_severity,0.05,per_group,2,severity 2,global,0.11424093197005139,0.014902246365972519,0.08585194266662972,0.14137294105185108,200,0.8857590680299486,0.01490224636597252,0.858627058948149,0.9141480573333702,200,0.38831824893279626,0.01257130551296419,0.36596358676295393,0.41392545563058725,200,0.48116890217956376,0.01226582400454041,0.46114969467195516,0.5051727550515527,200,721.7533532693457,18.398736006810612,691.7245420079327,757.7591325773291,200,473.76884154306344,15.843654284984094,443.93860040748933,507.5485534294741,200,0.34365197261340613,0.010638140268980195,0.32267585754757355,0.36404003904484733,200,0.18664023944933816,0.005559602093769585,0.17550151663614788,0.19647661906618005,200
corrupted_by_severity,0.05,per_group,2,severity 2,mondrian,0.04975433048011872,0.015042564112587736,0.026471119093352112,0.0860767482958849,200,0.9502456695198813,0.015042564112587736,0.9139232517041151,0.9735288809066479,200,0.5940561113875432,0.032249814838104754,0.5268029026213727,0.6438423726441116,200,0.6605239770525648,0.029234567780644687,0.5972383894536474,0.7029472024296227,200,990.7859655788474,43.85185167096702,895.8575841804712,1054.420803644434,200,724.7428530379932,39.139862913202954,642.3508723349871,786.3120221299235,200,0.26880943830201487,0.010093961473068586,0.2503906233130212,0.28764563701089807,200,0.18664023944933816,0.005559602093769585,0.17550151663614788,0.19647661906618005,200
corrupted_by_severity,0.05,per_group,3,severity 3,global,0.04429861490660522,0.00538149003761444,0.03482274312282061,0.055746378697198375,200,0.9557013850933948,0.005381490037614443,0.9442536213028017,0.9651772568771794,200,0.4495985161232659,0.011003923036793208,0.430469037277073,0.4692256489696873,200,0.6380828943594595,0.008298716952363217,0.6226923754872613,0.6543436040579256,200,957.124341539189,12.448075428544827,934.038563230892,981.5154060868882,200,423.2494138128019,11.615742554893815,401.69255580339234,447.24389476874035,200,0.5578176860187274,0.009513049945843908,0.5408024790178194,0.5783062393771589,200,0.37241546168453254,0.006850457069265806,0.35986723754386596,0.3867615312102874,200
corrupted_by_severity,0.05,per_group,3,severity 3,mondrian,0.049576358024270295,0.009161964139753514,0.034703550362976406,0.07085556796558286,200,0.9504236419757297,0.009161964139753512,0.9291444320344171,0.9652964496370235,200,0.43643767386485977,0.015554229575830006,0.4017961288765715,0.4644408748828371,200,0.6278596956305394,0.013021002922612032,0.595864708783691,0.6509296422136926,200,941.7895434458092,19.531504383918055,893.7970631755363,976.3944633205389,200,410.8609572495798,15.582558083798483,378.1914235803583,439.1840528337949,200,0.5638415155192871,0.010407901628333787,0.5436068053895923,0.584039250283668,200,0.37241546168453254,0.006850457069265806,0.35986723754386596,0.3867615312102874,200
corrupted_by_severity,0.05,per_group,4,severity 4,global,0.03288869665295092,0.004264784167445738,0.024405136065295333,0.04088386942697099,200,0.9671113033470491,0.004264784167445736,0.959116130573029,0.9755948639347047,200,0.2854743140630853,0.015114848024188506,0.25898645884507987,0.31737656600732883,200,0.6686037023586294,0.009048629870655432,0.6521702245636241,0.6877786635249322,200,1002.9055535379442,13.572944805983148,978.2553368454361,1031.6679952873983,200,187.5491879163745,10.626146322525923,170.54030447636399,209.22753290027458,200,0.8130522035775501,0.009153162514618179,0.7946445894122078,0.8288455656936298,200,0.5620550390735367,0.006724452592047565,0.5485748179102146,0.5738236910109646,200
corrupted_by_severity,0.05,per_group,4,severity 4,mondrian,0.050023223932754914,0.007815999395696964,0.03578531457955233,0.06555737157467884,200,0.9499767760672451,0.007815999395696964,0.9344426284253212,0.9642146854204476,200,0.1740128125148451,0.029205878494706388,0.12228484295163297,0.22992351184098084,200,0.6101500792959026,0.01781516388406327,0.5729005245902892,0.6437580329855825,200,915.2251189438538,26.7227458260949,859.3507868854338,965.6370494783738,200,114.31360285357763,19.229260399444446,78.5408216216077,148.20336309583095,200,0.875554363804088,0.01772300103776791,0.8433571177915546,0.9111597383664228,200,0.5620550390735367,0.006724452592047565,0.5485748179102146,0.5738236910109646,200
