dataset,coverage_risk_auc,min_miss_rate,max_false_alarms_per_minute,n,n_failures,prevalence
corrupted_by_severity,0.21465621456359799,0.0,938.5454545454545,24750,9264,0.3743030303030303
clean_by_quality,0.17804010025062655,0.0,1364.2857142857144,1050,95,0.09047619047619047
