n,n_failures,n_correct,n_alarms,n_missed_failures,n_false_alarms,prevalence,miss_rate,failure_recall,false_alarm_rate,alarm_rate,alarms_per_minute,false_alarms_per_minute,precision,mean_score,threshold,coverage,risk
1050,95,955,757,1,663,0.09047619047619047,0.010526315789473684,0.9894736842105263,0.694240837696335,0.7209523809523809,1081.4285714285716,947.1428571428572,0.12417437252311757,0.10484886914491653,0.008535020984709263,0.7209523809523809,0.010526315789473684
1050,95,955,766,1,672,0.09047619047619047,0.010526315789473684,0.9894736842105263,0.7036649214659686,0.7295238095238096,1094.2857142857144,960.0000000000001,0.1227154046997389,0.10484886914491653,0.008452634634450078,0.7295238095238096,0.010526315789473684
1050,95,955,777,0,682,0.09047619047619047,0.0,1.0,0.7141361256544503,0.74,1110.0,974.2857142857143,0.12226512226512226,0.10484886914491653,0.008342961072921753,0.74,0.0
1050,95,955,787,0,692,0.09047619047619047,0.0,1.0,0.724607329842932,0.7495238095238095,1124.2857142857144,988.5714285714287,0.1207115628970775,0.10484886914491653,0.008161792997270823,0.7495238095238095,0.0
1050,95,955,798,0,703,0.09047619047619047,0.0,1.0,0.7361256544502618,0.76,1140.0,1004.2857142857143,0.11904761904761904,0.10484886914491653,0.008010014332830906,0.76,0.0
1050,95,955,808,0,713,0.09047619047619047,0.0,1.0,0.7465968586387435,0.7695238095238095,1154.2857142857144,1018.5714285714287,0.11757425742574257,0.10484886914491653,0.00788644223473966,0.7695238095238095,0.0
1050,95,955,819,0,724,0.09047619047619047,0.0,1.0,0.7581151832460733,0.78,1170.0,1034.2857142857144,0.115995115995116,0.10484886914491653,0.007791164116933941,0.78,0.0
1050,95,955,829,0,734,0.09047619047619047,0.0,1.0,0.768586387434555,0.7895238095238095,1184.2857142857144,1048.5714285714287,0.11459589867310012,0.10484886914491653,0.007689908975735306,0.7895238095238095,0.0
1050,95,955,840,0,745,0.09047619047619047,0.0,1.0,0.7801047120418848,0.8,1200.0,1064.2857142857144,0.1130952380952381,0.10484886914491653,0.007605637982487678,0.8,0.0
1050,95,955,850,0,755,0.09047619047619047,0.0,1.0,0.7905759162303665,0.8095238095238095,1214.2857142857144,1078.5714285714287,0.11176470588235295,0.10484886914491653,0.007490852400660514,0.8095238095238095,0.0
1050,95,955,861,0,766,0.09047619047619047,0.0,1.0,0.8020942408376963,0.82,1230.0,1094.2857142857144,0.11033681765389082,0.10484886914491653,0.007338824309408664,0.82,0.0
1050,95,955,871,0,776,0.09047619047619047,0.0,1.0,0.812565445026178,0.8295238095238096,1244.2857142857144,1108.5714285714287,0.10907003444316878,0.10484886914491653,0.007193174031563101,0.8295238095238096,0.0
1050,95,955,882,0,787,0.09047619047619047,0.0,1.0,0.8240837696335078,0.84,1260.0,1124.2857142857144,0.10770975056689343,0.10484886914491653,0.007071141842752695,0.84,0.0
1050,95,955,892,0,797,0.09047619047619047,0.0,1.0,0.8345549738219895,0.8495238095238096,1274.2857142857144,1138.5714285714287,0.10650224215246637,0.10484886914491653,0.006989893782883882,0.8495238095238096,0.0
1050,95,955,903,0,808,0.09047619047619047,0.0,1.0,0.8460732984293193,0.86,1290.0,1154.2857142857144,0.10520487264673312,0.10484886914491653,0.00692560950294137,0.86,0.0
1050,95,955,913,0,818,0.09047619047619047,0.0,1.0,0.856544502617801,0.8695238095238095,1304.2857142857144,1168.5714285714287,0.10405257393209201,0.10484886914491653,0.006825606590136885,0.8695238095238095,0.0
1050,95,955,924,0,829,0.09047619047619047,0.0,1.0,0.8680628272251308,0.88,1320.0,1184.2857142857144,0.10281385281385282,0.10484886914491653,0.006706646475940943,0.88,0.0
1050,95,955,934,0,839,0.09047619047619047,0.0,1.0,0.8785340314136125,0.8895238095238095,1334.2857142857144,1198.5714285714287,0.10171306209850108,0.10484886914491653,0.006553430277854204,0.8895238095238095,0.0
1050,95,955,945,0,850,0.09047619047619047,0.0,1.0,0.8900523560209425,0.9,1350.0,1214.2857142857144,0.10052910052910052,0.10484886914491653,0.0064304650761187075,0.9,0.0
1050,95,955,955,0,860,0.09047619047619047,0.0,1.0,0.900523560209424,0.9095238095238095,1364.2857142857144,1228.5714285714287,0.09947643979057591,0.10484886914491653,0.006354084508493543,0.9095238095238095,0.0
1050,95,955,966,0,871,0.09047619047619047,0.0,1.0,0.912041884816754,0.92,1380.0,1244.2857142857144,0.09834368530020704,0.10484886914491653,0.006285985801368952,0.92,0.0
1050,95,955,976,0,881,0.09047619047619047,0.0,1.0,0.9225130890052357,0.9295238095238095,1394.2857142857144,1258.5714285714287,0.09733606557377049,0.10484886914491653,0.006231450638733804,0.9295238095238095,0.0
1050,95,955,987,0,892,0.09047619047619047,0.0,1.0,0.9340314136125655,0.94,1410.0,1274.2857142857144,0.09625126646403243,0.10484886914491653,0.006124022183939814,0.94,0.0
1050,95,955,997,0,902,0.09047619047619047,0.0,1.0,0.9445026178010472,0.9495238095238095,1424.2857142857144,1288.5714285714287,0.09528585757271815,0.10484886914491653,0.006017729477025569,0.9495238095238095,0.0
1050,95,955,1008,0,913,0.09047619047619047,0.0,1.0,0.956020942408377,0.96,1440.0,1304.2857142857144,0.09424603174603174,0.10484886914491653,0.005910601206123831,0.96,0.0
1050,95,955,1018,0,923,0.09047619047619047,0.0,1.0,0.9664921465968587,0.9695238095238096,1454.2857142857144,1318.5714285714287,0.09332023575638507,0.10484886914491653,0.005707321590743959,0.9695238095238096,0.0
1050,95,955,1029,0,934,0.09047619047619047,0.0,1.0,0.9780104712041885,0.98,1470.0,1334.2857142857144,0.0923226433430515,0.10484886914491653,0.005518428944051266,0.98,0.0
1050,95,955,1039,0,944,0.09047619047619047,0.0,1.0,0.9884816753926702,0.9895238095238095,1484.2857142857144,1348.5714285714287,0.09143407122232916,0.10484886914491653,0.0052517253160476686,0.9895238095238095,0.0
1050,95,955,1050,0,955,0.09047619047619047,0.0,1.0,1.0,1.0,1500.0,1364.2857142857144,0.09047619047619047,0.10484886914491653,0.004786298610270023,1.0,0.0
