n,n_failures,n_correct,n_alarms,n_missed_failures,n_false_alarms,prevalence,miss_rate,failure_recall,false_alarm_rate,alarm_rate,alarms_per_minute,false_alarms_per_minute,precision,mean_score,threshold,coverage,risk
24750,9264,15486,163,9101,0,0.3743030303030303,0.9824050086355786,0.017594991364421442,0.0,0.006585858585858586,9.878787878787879,0.0,1.0,0.3722984194755554,0.9983310103416443,0.006585858585858586,0.9824050086355786
24750,9264,15486,423,8841,0,0.3743030303030303,0.9543393782383419,0.04566062176165808,0.0,0.01709090909090909,25.636363636363637,0.0,1.0,0.3722984194755554,0.9983115196228027,0.01709090909090909,0.9543393782383419
24750,9264,15486,527,8737,0,0.3743030303030303,0.9431131260794473,0.056886873920552694,0.0,0.021292929292929294,31.939393939393938,0.0,1.0,0.3722984194755554,0.998290479183197,0.021292929292929294,0.9431131260794473
24750,9264,15486,870,8394,0,0.3743030303030303,0.9060880829015544,0.0939119170984456,0.0,0.03515151515151515,52.72727272727273,0.0,1.0,0.3722984194755554,0.998263418674469,0.03515151515151515,0.9060880829015544
24750,9264,15486,990,8274,0,0.3743030303030303,0.8931347150259067,0.10686528497409331,0.0,0.04,60.0,0.0,1.0,0.3722984194755554,0.9982134580612183,0.04,0.8931347150259067
24750,9264,15486,1240,8024,0,0.3743030303030303,0.8661485319516408,0.13385146804835923,0.0,0.050101010101010104,75.15151515151516,0.0,1.0,0.3722984194755554,0.9981508851051331,0.050101010101010104,0.8661485319516408
24750,9264,15486,1492,7772,0,0.3743030303030303,0.8389464594127807,0.16105354058721932,0.0,0.060282828282828285,90.42424242424242,0.0,1.0,0.3722984194755554,0.9980000853538513,0.060282828282828285,0.8389464594127807
24750,9264,15486,1734,7530,0,0.3743030303030303,0.8128238341968912,0.1871761658031088,0.0,0.07006060606060606,105.0909090909091,0.0,1.0,0.3722984194755554,0.9978542923927307,0.07006060606060606,0.8128238341968912
24750,9264,15486,1980,7284,0,0.3743030303030303,0.7862694300518135,0.2137305699481865,0.0,0.08,120.0,0.0,1.0,0.3722984194755554,0.997688570022583,0.08,0.7862694300518135
24750,9264,15486,2228,7036,0,0.3743030303030303,0.7594991364421416,0.24050086355785838,0.0,0.09002020202020201,135.03030303030303,0.0,1.0,0.3722984194755554,0.997503457069397,0.09002020202020201,0.7594991364421416
24750,9264,15486,2475,6789,0,0.3743030303030303,0.7328367875647669,0.2671632124352331,0.0,0.1,150.0,0.0,1.0,0.3722984194755554,0.9971204578876496,0.1,0.7328367875647669
24750,9264,15486,2723,6541,0,0.3743030303030303,0.706066493955095,0.293933506044905,0.0,0.11002020202020202,165.03030303030303,0.0,1.0,0.3722984194755554,0.9965263891220093,0.11002020202020202,0.706066493955095
24750,9264,15486,2970,6294,0,0.3743030303030303,0.6794041450777202,0.3205958549222798,0.0,0.12,180.0,0.0,1.0,0.3722984194755554,0.9955481863021851,0.12,0.6794041450777202
24750,9264,15486,3218,6046,0,0.3743030303030303,0.6526338514680483,0.3473661485319517,0.0,0.130020202020202,195.03030303030303,0.0,1.0,0.3722984194755554,0.9949779713153839,0.130020202020202,0.6526338514680483
24750,9264,15486,3465,5799,0,0.3743030303030303,0.6259715025906736,0.3740284974093264,0.0,0.14,210.0,0.0,1.0,0.3722984194755554,0.9940455746650696,0.14,0.6259715025906736
24750,9264,15486,3715,5550,1,0.3743030303030303,0.5990932642487047,0.4009067357512953,6.457445434586077e-05,0.1501010101010101,225.15151515151516,0.06060606060606061,0.9997308209959623,0.3722984194755554,0.993139922618866,0.1501010101010101,0.5990932642487047
