scope,model,auroc,auprc,n,n_failures,failure_rate
clean_test_tau75,entropy,0.4834612573099415,0.22047790237411105,825,57,0.06909090909090909
clean_test_tau75,learned_confidence_only,0.6205226608187134,0.1520239470055166,825,57,0.06909090909090909
clean_test_tau75,full_monitor,0.6721377010233918,0.13189363346071395,825,57,0.06909090909090909
loco_tau75_macro,entropy,0.5261891699441147,0.4773840485636642,,,
loco_tau75_macro,learned_confidence_only,0.8774908479093192,0.7227293544801107,,,
loco_tau75_macro,full_monitor,0.8844306745089137,0.7421875569737301,,,
loco_tau75_micro,entropy,0.5938921035312524,0.633638201900679,24750,9264,0.3743030303030303
loco_tau75_micro,learned_confidence_only,0.9120376179097193,0.8879538188642708,24750,9264,0.3743030303030303
loco_tau75_micro,full_monitor,0.9200740251599472,0.9026806149614582,24750,9264,0.3743030303030303
