scope,training_condition,comparison,delta_auprc,delta_auprc_ci_hi,delta_auprc_ci_lo,delta_auprc_n_boot,delta_auroc,delta_auroc_ci_hi,delta_auroc_ci_lo,delta_auroc_n_boot
clean_loso_tau75_micro,clean_only,full_minus_confidence_only,-0.02063347676831151,0.02132153703926361,-0.05860218368756634,1000,0.007568838461859628,0.03376427710076512,-0.021319079759810834,1000
corrupted_held_sequence_tau75_micro,clean_only,full_minus_confidence_only,0.023061927914187152,0.03006093944775497,0.016190587264251065,1000,0.024666228697958092,0.029395847946870224,0.02002526723951907,1000
corrupted_held_sequence_tau75_micro,combined,full_minus_confidence_only,0.04606444204994398,0.048929736646962894,0.04308965231072203,1000,0.03918941661497366,0.04173013143041302,0.03680321555094891,1000
