scope,held_out_sequence,training_condition,feature_set,auroc,auroc_ci_lo,auroc_ci_hi,auroc_sequence_std,auprc,auprc_ci_lo,auprc_ci_hi,auprc_sequence_std,n,n_failures,failure_rate,n_features,train_seconds,n_train_pool,n_train_pool_failures,n_fit,n_fit_failures,n_val,n_val_failures,score_column,auprc_n_boot,auroc_n_boot
corrupted_held_sequence_tau75,seq09,clean_only,full,0.8417816095320909,0.8331383370785332,0.850853441421445,,0.7682304898076573,0.7524332689799208,0.7834715574224023,,9000,3436,0.38177777777777777,22,39.36605307098944,2100,159,1680,127,420,32,clean_only_full,1000,1000
corrupted_held_sequence_tau75,seq09,clean_only,confidence_only,0.8291724343840204,0.8203631683259311,0.8382251726178058,,0.8050862331313701,0.793004710682685,0.8165613647442088,,9000,3436,0.38177777777777777,7,48.1285401590867,2100,159,1680,127,420,32,clean_only_confidence_only,1000,1000
corrupted_held_sequence_tau75,seq09,combined,full,0.9514642923199111,0.9467335364839772,0.9559177528838085,,0.9434530820449724,0.9383692247271136,0.9486360977801213,,9000,3436,0.38177777777777777,22,241.32044142996892,42600,16775,34080,13420,8520,3355,combined_full,1000,1000
corrupted_held_sequence_tau75,seq09,combined,confidence_only,0.8962407176016786,0.8894716831897006,0.9029688122860218,,0.8862528785674045,0.8782583277166433,0.8942779844942373,,9000,3436,0.38177777777777777,7,237.11774451006204,42600,16775,34080,13420,8520,3355,combined_confidence_only,1000,1000
corrupted_held_sequence_tau75,seq10,clean_only,full,0.8727554589974271,0.864019807193728,0.8810807290836901,,0.7738796970067259,0.7553947606071616,0.7921594192262982,,9000,2833,0.31477777777777777,22,52.667288649012335,2100,162,1680,130,420,32,clean_only_full,1000,1000
corrupted_held_sequence_tau75,seq10,clean_only,confidence_only,0.8954591668497786,0.8889183163568904,0.902978985084345,,0.8521735500805694,0.8411189684923999,0.8629343714444623,,9000,2833,0.31477777777777777,7,22.867325327009894,2100,162,1680,130,420,32,clean_only_confidence_only,1000,1000
corrupted_held_sequence_tau75,seq10,combined,full,0.9784803610943804,0.9760752558825305,0.9807428443128031,,0.9610082694397849,0.956420845937214,0.965219847498499,,9000,2833,0.31477777777777777,22,237.7252715069335,42600,16778,34080,13422,8520,3356,combined_full,1000,1000
corrupted_held_sequence_tau75,seq10,combined,confidence_only,0.9533795532522231,0.9494375930098116,0.9575420583739271,,0.9243578696515471,0.9177115693907284,0.9307568216372384,,9000,2833,0.31477777777777777,7,242.05955827306025,42600,16778,34080,13422,8520,3356,combined_confidence_only,1000,1000
clean_loso_tau75_macro,macro_mean,clean_only,confidence_only,0.7340201706095952,,,0.20843319536206223,0.46642774473220755,,,0.3218113132890111,,,,7,269.0696943490766,,,,,,,,,
clean_loso_tau75_macro,macro_mean,clean_only,full,0.768622993552128,,,0.14890591739196019,0.4232352955295751,,,0.30782243318424163,,,,22,461.16339284193236,,,,,,,,,
